"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"EA1122","Causey Spring CWMU","Elk","Any Legal Weapon","CWMU","Causey Spring","560","exact_norm_name"
"EA1124","Chimney Rock CWMU","Elk","Any Legal Weapon","CWMU","Chimney Rock","732","exact_norm_name"
"EA1125","Coldwater Ranch CWMU","Elk","Any Legal Weapon","CWMU","Coldwater Ranch","505","exact_norm_name"
"EA1129","Deseret CWMU","Elk","Any Legal Weapon","CWMU","Deseret","568","exact_norm_name"
"EA1130","Double Cone CWMU","Elk","Any Legal Weapon","CWMU","Double Cone","516","exact_norm_name"
"EA1131","Durst Mountain CWMU","Elk","Any Legal Weapon","CWMU","Durst Mountain","567","exact_norm_name"
"EA1132","East Fork Chalk Creek CWMU","Elk","Any Legal Weapon","CWMU","East Fork Chalk Creek","520","exact_norm_name"
"EA1134","Ensign Ranches CWMU","Elk","Any Legal Weapon","CWMU","Ensign Ranches","522","exact_norm_name"
"EA1136","Grass Valley/Clark Canyon CWMU","Elk","Any Legal Weapon","CWMU","Grass Valley/Clark Canyon","525","exact_norm_name"
"EA1137","Grazing Pasture CWMU","Elk","Any Legal Weapon","CWMU","Grazing Pasture","530","exact_norm_name"
"EA1138","Guildersleeve CWMU","Elk","Any Legal Weapon","CWMU","Guildersleeve","573","exact_norm_name"
"EA1139","Hardscrabble CWMU","Elk","Any Legal Weapon","CWMU","Hardscrabble","577","exact_norm_name"
"EA1140","Heaston East CWMU","Elk","Any Legal Weapon","CWMU","Heaston East","555","exact_norm_name"
"EA1141","Hiawatha CWMU","Elk","Any Legal Weapon","CWMU","Hiawatha","550","exact_norm_name"
"EA1142","Indian Head CWMU","Elk","Any Legal Weapon","CWMU","Indian Head","735","exact_norm_name"
"EA1143","Circle E Ranch CWMU","Elk","Any Legal Weapon","CWMU","Circle E Ranch","549","exact_norm_name"
"EA1146","Jump Creek CWMU","Elk","Any Legal Weapon","CWMU","Jump Creek","734","exact_norm_name"
"EA1147","Little Red Creek CWMU","Elk","Any Legal Weapon","CWMU","Little Red Creek","484","exact_norm_name"
"EA1149","Minnie Maud Ridge CWMU","Elk","Any Legal Weapon","CWMU","Minnie Maud Ridge","551","exact_norm_name"
"EA1151","Moon Ranch CWMU","Elk","Any Legal Weapon","CWMU","Moon Ranch","485","exact_norm_name"
"EA1153","Old Woman Plateau CWMU","Elk","Any Legal Weapon","CWMU","Old Woman Plateau","535","exact_norm_name"
"EA1156","Preston Nutter Ranch CWMU","Elk","Any Legal Weapon","CWMU","Preston Nutter Ranch","542","exact_norm_name"
"EA1157","Redd Ranches CWMU","Elk","Any Legal Weapon","CWMU","Redd Ranches","548","exact_norm_name"
"EA1159","Roan Cliffs CWMU","Elk","Any Legal Weapon","CWMU","Roan Cliffs","543","exact_norm_name"
"EA1160","Sand Creek CWMU","Elk","Any Legal Weapon","CWMU","Sand Creek","740","exact_norm_name"
"EA1161","Scofield Canyons CWMU","Elk","Any Legal Weapon","CWMU","Scofield Canyons","539","exact_norm_name"
"EA1162","Scofield East CWMU","Elk","Any Legal Weapon","CWMU","Scofield East","540","exact_norm_name"
"EA1163","Scofield West CWMU","Elk","Any Legal Weapon","CWMU","Scofield West","541","exact_norm_name"
"EA1164","SJ Ranch CWMU","Elk","Any Legal Weapon","CWMU","SJ Ranch","576","exact_norm_name"
"EA1165","Skull Crack CWMU","Elk","Any Legal Weapon","CWMU","Skull Crack","578","exact_norm_name"
"EA1166","Soldier Summit CWMU","Elk","Any Legal Weapon","CWMU","Soldier Summit","552","exact_norm_name"
"EA1167","South Canyon CWMU","Elk","Any Legal Weapon","CWMU","South Canyon","491","exact_norm_name"
"EA1168","Spring Creek/Dodge CWMU","Elk","Any Legal Weapon","CWMU","Spring Creek/Dodge","546","exact_norm_name"
"EA1170","Strawberry Ridge CWMU","Elk","Any Legal Weapon","CWMU","Strawberry Ridge","562","exact_norm_name"
